[42/200] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0023
[43/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0018
[44/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0017
[45/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0015
[46/200] Total Loss: 0.0008, Discrepancy Loss: 0.0008,  Constraint Loss: 0.0015
[47/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0017
[48/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0015
[49/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0017
[50/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0015
[51/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0019
[52/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0013
[53/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0013
[54/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0015
[55/200] Total Loss: 0.0006, Discrepancy Loss: 0.0006,  Constraint Loss: 0.0013
[56/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0013
[57/200] Total Loss: 0.0008, Discrepancy Loss: 0.0007,  Constraint Loss: 0.0014
[58/200] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0026
[59/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0017
[60/200] Total Loss: 0.0009, Discrepancy Loss: 0.0008,  Constraint Loss: 0.0015
[61/200] Total Loss: 0.0012, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0014
[62/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0015
[63/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0015
[64/200] Total Loss: 0.0008, Discrepancy Loss: 0.0008,  Constraint Loss: 0.0014
[65/200] Total Loss: 0.0026, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0026
[66/200] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0019
[67/200] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0023
[68/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0015
[69/200] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0024
[70/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0019
[71/200] Total Loss: 0.0012, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0015
[72/200] Total Loss: 0.0008, Discrepancy Loss: 0.0008,  Constraint Loss: 0.0011
[73/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0018
[74/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0016
[75/200] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0017
[76/200] Total Loss: 0.0019, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0020
[77/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0013
[78/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0013
[79/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0015
[80/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0015
[81/200] Total Loss: 0.0006, Discrepancy Loss: 0.0006,  Constraint Loss: 0.0009
[82/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0015
[83/200] Total Loss: 0.0006, Discrepancy Loss: 0.0006,  Constraint Loss: 0.0011
[84/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0013
[85/200] Total Loss: 0.0005, Discrepancy Loss: 0.0005,  Constraint Loss: 0.0011
[86/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0013
[87/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0015
[88/200] Total Loss: 0.0006, Discrepancy Loss: 0.0006,  Constraint Loss: 0.0010
[89/200] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0021
[90/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0016
