[97/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0009
[98/200] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0016
[99/200] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0019
[100/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0012
[101/200] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0015
[102/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0018
[103/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0016
[104/200] Total Loss: 0.0021, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0019
[105/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0012
[106/200] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0034
[107/200] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0016
[108/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0009
[109/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0012
[110/200] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0016
[111/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0011
[112/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0015
[113/200] Total Loss: 0.0023, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0016
[114/200] Total Loss: 0.0016, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0013
[115/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0018
[116/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0014
[117/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0014
[118/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0012
[119/200] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0014
[120/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0010
[121/200] Total Loss: 0.0008, Discrepancy Loss: 0.0008,  Constraint Loss: 0.0009
[122/200] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0016
[123/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0011
[124/200] Total Loss: 0.0024, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0016
[125/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0009
[126/200] Total Loss: 0.0024, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0018
[127/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0013
[128/200] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0014
[129/200] Total Loss: 0.0024, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0016
[130/200] Total Loss: 0.0025, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0016
[131/200] Total Loss: 0.0008, Discrepancy Loss: 0.0008,  Constraint Loss: 0.0010
[132/200] Total Loss: 0.0024, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0014
[133/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0012
[134/200] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0012
[135/200] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0013
[136/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0016
[137/200] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0012
[138/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0012
[139/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0010
[140/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0014
[141/200] Total Loss: 0.0015, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0013
[142/200] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0014
[143/200] Total Loss: 0.0017, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0012
[144/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0015
[145/200] Total Loss: 0.0021, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0016
[146/200] Total Loss: 0.0028, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0015
[147/200] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0014
[148/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0010
[149/200] Total Loss: 0.0022, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0018
[150/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0015
[151/200] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0010
[152/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0013
